,Nivel,Cod,EnteFederativo,2018,2019,2020,2021
120,"""MU""","""1301159""","""Careiro da Várzea (AM)""","""337463""","""318688""","""374101""","""413374"""
121,"""MU""","""1301209""","""Coari (AM)""","""2018615""","""2253992""","""1923265""","""3380278"""
122,"""MU""","""1301308""","""Codajás (AM)""","""501935""","""505889""","""498996""","""531995"""
123,"""MU""","""1301407""","""Eirunepé (AM)""","""518216""","""478814""","""502984""","""568039"""
124,"""MU""","""1301506""","""Envira (AM)""","""157794""","""172414""","""178128""","""215527"""
125,"""MU""","""1301605""","""Fonte Boa (AM)""","""180667""","""181680""","""197036""","""222773"""
126,"""MU""","""1301654""","""Guajará (AM)""","""123681""","""130114""","""147398""","""177320"""
127,"""MU""","""1301704""","""Humaitá (AM)""","""621322""","""721855""","""780339""","""860168"""
128,"""MU""","""1301803""","""Ipixuna (AM)""","""152316""","""177141""","""193669""","""216519"""
129,"""MU""","""1301852""","""Iranduba (AM)""","""678368""","""691801""","""727697""","""1001862"""
130,"""MU""","""1301902""","""Itacoatiara (AM)""","""1882624""","""2070851""","""2273504""","""2350463"""
131,"""MU""","""1301951""","""Itamarati (AM)""","""95522""","""99805""","""107487""","""135620"""
132,"""MU""","""1302009""","""Itapiranga (AM)""","""111075""","""129499""","""134333""","""152509"""
133,"""MU""","""1302108""","""Japurá (AM)""","""63038""","""65857""","""63114""","""85809"""
134,"""MU""","""1302207""","""Juruá (AM)""","""104579""","""115621""","""122251""","""138074"""
135,"""MU""","""1302306""","""Jutaí (AM)""","""224322""","""230654""","""252817""","""266377"""
136,"""MU""","""1302405""","""Lábrea (AM)""","""493720""","""500460""","""556267""","""625199"""
137,"""MU""","""1302504""","""Manacapuru (AM)""","""1428780""","""1502525""","""1432217""","""1544675"""
138,"""MU""","""1302553""","""Manaquiri (AM)""","""275567""","""259773""","""274499""","""311335"""
139,"""MU""","""1302603""","""Manaus (AM)""","""78155386""","""84566043""","""91773536""","""103281436"""
140,"""MU""","""1302702""","""Manicoré (AM)""","""529374""","""560803""","""621102""","""686279"""
141,"""MU""","""1302801""","""Maraã (AM)""","""129463""","""140342""","""148824""","""176217"""
142,"""MU""","""1302900""","""Maués (AM)""","""502004""","""551175""","""565975""","""595827"""
143,"""MU""","""1303007""","""Nhamundá (AM)""","""152077""","""168137""","""185694""","""207005"""
144,"""MU""","""1303106""","""Nova Olinda do Norte (AM)""","""247214""","""278282""","""293887""","""341652"""
145,"""MU""","""1303205""","""Novo Airão (AM)""","""136543""","""172501""","""172051""","""186533"""
146,"""MU""","""1303304""","""Novo Aripuanã (AM)""","""200293""","""212575""","""219412""","""252422"""
147,"""MU""","""1303403""","""Parintins (AM)""","""1123079""","""1225444""","""1320369""","""1426984"""
148,"""MU""","""1303502""","""Pauini (AM)""","""157104""","""163873""","""175059""","""199541"""
149,"""MU""","""1303536""","""Presidente Figueiredo (AM)""","""823936""","""956464""","""832243""","""1031905"""
150,"""MU""","""1303569""","""Rio Preto da Eva (AM)""","""382992""","""439400""","""374196""","""407146"""
151,"""MU""","""1303601""","""Santa Isabel do Rio Negro (AM)""","""138110""","""150012""","""157256""","""185817"""
152,"""MU""","""1303700""","""Santo Antônio do Içá (AM)""","""181771""","""191909""","""208637""","""237314"""
153,"""MU""","""1303809""","""São Gabriel da Cachoeira (AM)""","""331771""","""349719""","""376603""","""423054"""
154,"""MU""","""1303908""","""São Paulo de Olivença (AM)""","""251748""","""280976""","""302085""","""334131"""
155,"""MU""","""1303957""","""São Sebastião do Uatumã (AM)""","""117748""","""121771""","""127895""","""136609"""
156,"""MU""","""1304005""","""Silves (AM)""","""101823""","""114106""","""133793""","""175042"""
157,"""MU""","""1304062""","""Tabatinga (AM)""","""537079""","""594242""","""652926""","""758036"""
158,"""MU""","""1304104""","""Tapauá (AM)""","""247785""","""192217""","""218672""","""239944"""
159,"""MU""","""1304203""","""Tefé (AM)""","""936724""","""1021258""","""941046""","""1098392"""
160,"""MU""","""1304237""","""Tonantins (AM)""","""133877""","""151465""","""158633""","""185410"""
161,"""MU""","""1304260""","""Uarini (AM)""","""188175""","""196338""","""205138""","""229209"""
162,"""MU""","""1304302""","""Urucará (AM)""","""330708""","""302863""","""306779""","""205656"""
163,"""MU""","""1304401""","""Urucurituba (AM)""","""166521""","""179336""","""195752""","""232661"""
164,"""MU""","""1400027""","""Amajari (RR)""","""169685""","""176954""","""198107""","""240826"""
165,"""MU""","""1400050""","""Alto Alegre (RR)""","""280115""","""307361""","""409619""","""385507"""
166,"""MU""","""1400100""","""Boa Vista (RR)""","""10042234""","""10697931""","""11828926""","""13493364"""
167,"""MU""","""1400159""","""Bonfim (RR)""","""281340""","""315224""","""416440""","""522405"""
