,Nivel,Cod,EnteFederativo,2018,2019,2020,2021
2958,"""MU""","""3158953""","""Santana do Paraíso (MG)""","""648539""","""745277""","""776561""","""750463"""
2959,"""MU""","""3159001""","""Santana do Riacho (MG)""","""63400""","""80735""","""88587""","""103786"""
2960,"""MU""","""3159100""","""Santana dos Montes (MG)""","""33900""","""40624""","""45265""","""49866"""
2961,"""MU""","""3159209""","""Santa Rita de Caldas (MG)""","""157616""","""168317""","""184449""","""227955"""
2962,"""MU""","""3159308""","""Santa Rita de Jacutinga (MG)""","""56325""","""62714""","""66967""","""74817"""
2963,"""MU""","""3159357""","""Santa Rita de Minas (MG)""","""79952""","""89196""","""125108""","""151813"""
2964,"""MU""","""3159407""","""Santa Rita de Ibitipoca (MG)""","""52351""","""67416""","""63897""","""61761"""
2965,"""MU""","""3159506""","""Santa Rita do Itueto (MG)""","""93592""","""82952""","""122552""","""179081"""
2966,"""MU""","""3159605""","""Santa Rita do Sapucaí (MG)""","""1463878""","""1650726""","""1661193""","""1944614"""
2967,"""MU""","""3159704""","""Santa Rosa da Serra (MG)""","""57030""","""49901""","""74373""","""102034"""
2968,"""MU""","""3159803""","""Santa Vitória (MG)""","""696737""","""668591""","""696630""","""802690"""
2969,"""MU""","""3159902""","""Santo Antônio do Amparo (MG)""","""285100""","""274269""","""319509""","""354432"""
2970,"""MU""","""3160009""","""Santo Antônio do Aventureiro (MG)""","""45435""","""49746""","""55501""","""67920"""
2971,"""MU""","""3160108""","""Santo Antônio do Grama (MG)""","""60237""","""71832""","""79300""","""85672"""
2972,"""MU""","""3160207""","""Santo Antônio do Itambé (MG)""","""35698""","""39190""","""43431""","""44707"""
2973,"""MU""","""3160306""","""Santo Antônio do Jacinto (MG)""","""88609""","""96784""","""101057""","""114554"""
2974,"""MU""","""3160405""","""Santo Antônio do Monte (MG)""","""575930""","""611977""","""697205""","""843029"""
2975,"""MU""","""3160454""","""Santo Antônio do Retiro (MG)""","""49812""","""55868""","""61758""","""70750"""
2976,"""MU""","""3160504""","""Santo Antônio do Rio Abaixo (MG)""","""22900""","""23989""","""27925""","""28497"""
2977,"""MU""","""3160603""","""Santo Hipólito (MG)""","""35785""","""36272""","""43857""","""50200"""
2978,"""MU""","""3160702""","""Santos Dumont (MG)""","""939829""","""1009229""","""1024559""","""1102977"""
2979,"""MU""","""3160801""","""São Bento Abade (MG)""","""60954""","""67141""","""77932""","""89310"""
2980,"""MU""","""3160900""","""São Brás do Suaçuí (MG)""","""54372""","""63258""","""68633""","""80505"""
2981,"""MU""","""3160959""","""São Domingos das Dores (MG)""","""72798""","""67337""","""79086""","""91417"""
2982,"""MU""","""3161007""","""São Domingos do Prata (MG)""","""252408""","""261661""","""285742""","""313491"""
2983,"""MU""","""3161056""","""São Félix de Minas (MG)""","""37384""","""38689""","""43043""","""43895"""
2984,"""MU""","""3161106""","""São Francisco (MG)""","""506328""","""532395""","""585508""","""648148"""
2985,"""MU""","""3161205""","""São Francisco de Paula (MG)""","""98942""","""91374""","""109887""","""150481"""
2986,"""MU""","""3161304""","""São Francisco de Sales (MG)""","""133224""","""139722""","""156256""","""194087"""
2987,"""MU""","""3161403""","""São Francisco do Glória (MG)""","""54636""","""52569""","""67104""","""72567"""
2988,"""MU""","""3161502""","""São Geraldo (MG)""","""200183""","""220977""","""241931""","""264434"""
2989,"""MU""","""3161601""","""São Geraldo da Piedade (MG)""","""36344""","""36386""","""40171""","""44821"""
2990,"""MU""","""3161650""","""São Geraldo do Baixio (MG)""","""39118""","""42004""","""48080""","""49944"""
2991,"""MU""","""3161700""","""São Gonçalo do Abaeté (MG)""","""228736""","""231535""","""258377""","""325580"""
2992,"""MU""","""3161809""","""São Gonçalo do Pará (MG)""","""245817""","""239927""","""226223""","""311248"""
2993,"""MU""","""3161908""","""São Gonçalo do Rio Abaixo (MG)""","""3650453""","""3418942""","""2479386""","""7603851"""
2994,"""MU""","""3162005""","""São Gonçalo do Sapucaí (MG)""","""617379""","""650829""","""776436""","""987545"""
2995,"""MU""","""3162104""","""São Gotardo (MG)""","""830304""","""945690""","""981282""","""1189360"""
2996,"""MU""","""3162203""","""São João Batista do Glória (MG)""","""147496""","""160757""","""200681""","""268158"""
2997,"""MU""","""3162252""","""São João da Lagoa (MG)""","""41428""","""48500""","""54768""","""60418"""
2998,"""MU""","""3162302""","""São João da Mata (MG)""","""43196""","""42455""","""50193""","""55082"""
2999,"""MU""","""3162401""","""São João da Ponte (MG)""","""198617""","""215297""","""255400""","""268895"""
3000,"""MU""","""3162450""","""São João das Missões (MG)""","""81506""","""83766""","""90110""","""92400"""
3001,"""MU""","""3162500""","""São João del Rei (MG)""","""2153667""","""2441981""","""2501647""","""3005052"""
3002,"""MU""","""3162559""","""São João do Manhuaçu (MG)""","""115952""","""127492""","""151480""","""183099"""
3003,"""MU""","""3162575""","""São João do Manteninha (MG)""","""58719""","""66992""","""73041""","""81243"""
3004,"""MU""","""3162609""","""São João do Oriente (MG)""","""83747""","""94167""","""100702""","""101877"""
3005,"""MU""","""3162658""","""São João do Pacuí (MG)""","""33691""","""35546""","""40110""","""44646"""
3006,"""MU""","""3162708""","""São João do Paraíso (MG)""","""216218""","""235296""","""252422""","""285080"""
3007,"""MU""","""3162807""","""São João Evangelista (MG)""","""171085""","""206308""","""219565""","""253108"""
3008,"""MU""","""3162906""","""São João Nepomuceno (MG)""","""395915""","""429754""","""430419""","""506309"""
3009,"""MU""","""3162922""","""São Joaquim de Bicas (MG)""","""624472""","""580176""","""707661""","""1083354"""
3010,"""MU""","""3162948""","""São José da Barra (MG)""","""556562""","""791914""","""810222""","""891476"""
3011,"""MU""","""3162955""","""São José da Lapa (MG)""","""474856""","""518085""","""562068""","""625195"""
3012,"""MU""","""3163003""","""São José da Safira (MG)""","""38572""","""42274""","""40232""","""49560"""
3013,"""MU""","""3163102""","""São José da Varginha (MG)""","""82200""","""92773""","""107172""","""114407"""
3014,"""MU""","""3163201""","""São José do Alegre (MG)""","""50313""","""49708""","""52144""","""57940"""
3015,"""MU""","""3163300""","""São José do Divino (MG)""","""37535""","""39353""","""45630""","""53046"""
3016,"""MU""","""3163409""","""São José do Goiabal (MG)""","""53833""","""55861""","""61138""","""67388"""
3017,"""MU""","""3163508""","""São José do Jacuri (MG)""","""62890""","""77750""","""95934""","""99911"""
3018,"""MU""","""3163607""","""São José do Mantimento (MG)""","""32044""","""31900""","""39590""","""44175"""
3019,"""MU""","""3163706""","""São Lourenço (MG)""","""1047174""","""1119634""","""1042079""","""1177922"""
3020,"""MU""","""3163805""","""São Miguel do Anta (MG)""","""77055""","""80290""","""94634""","""105089"""
3021,"""MU""","""3163904""","""São Pedro da União (MG)""","""91155""","""82585""","""109581""","""148166"""
3022,"""MU""","""3164001""","""São Pedro dos Ferros (MG)""","""113133""","""113936""","""123287""","""134410"""
3023,"""MU""","""3164100""","""São Pedro do Suaçuí (MG)""","""60048""","""66777""","""78552""","""81787"""
3024,"""MU""","""3164209""","""São Romão (MG)""","""161062""","""152019""","""168415""","""243121"""
3025,"""MU""","""3164308""","""São Roque de Minas (MG)""","""205787""","""238706""","""277701""","""323185"""
3026,"""MU""","""3164407""","""São Sebastião da Bela Vista (MG)""","""375584""","""449258""","""392968""","""443000"""
3027,"""MU""","""3164431""","""São Sebastião da Vargem Alegre (MG)""","""50261""","""52624""","""53081""","""66816"""
3028,"""MU""","""3164472""","""São Sebastião do Anta (MG)""","""64994""","""66149""","""82501""","""104241"""
3029,"""MU""","""3164506""","""São Sebastião do Maranhão (MG)""","""76832""","""81177""","""92967""","""100816"""
3030,"""MU""","""3164605""","""São Sebastião do Oeste (MG)""","""403818""","""364127""","""599487""","""597003"""
3031,"""MU""","""3164704""","""São Sebastião do Paraíso (MG)""","""1769811""","""1960834""","""2065230""","""2236521"""
3032,"""MU""","""3164803""","""São Sebastião do Rio Preto (MG)""","""19627""","""20809""","""23465""","""25970"""
3033,"""MU""","""3164902""","""São Sebastião do Rio Verde (MG)""","""28335""","""31967""","""34641""","""35692"""
3034,"""MU""","""3165008""","""São Tiago (MG)""","""169777""","""176857""","""206644""","""246094"""
3035,"""MU""","""3165107""","""São Tomás de Aquino (MG)""","""126909""","""117483""","""166100""","""195273"""
3036,"""MU""","""3165206""","""São Tomé das Letras (MG)""","""91622""","""104901""","""113304""","""137362"""
3037,"""MU""","""3165305""","""São Vicente de Minas (MG)""","""161719""","""165761""","""182084""","""206110"""
3038,"""MU""","""3165404""","""Sapucaí-Mirim (MG)""","""101473""","""111417""","""107142""","""110272"""
3039,"""MU""","""3165503""","""Sardoá (MG)""","""61304""","""61284""","""64112""","""68802"""
3040,"""MU""","""3165537""","""Sarzedo (MG)""","""908856""","""1069378""","""1168334""","""2190992"""
3041,"""MU""","""3165552""","""Setubinha (MG)""","""90384""","""90165""","""103597""","""122686"""
3042,"""MU""","""3165560""","""Sem-Peixe (MG)""","""30114""","""31768""","""33589""","""36665"""
3043,"""MU""","""3165578""","""Senador Amaral (MG)""","""60769""","""68018""","""76852""","""89448"""
3044,"""MU""","""3165602""","""Senador Cortes (MG)""","""27511""","""33054""","""34998""","""38035"""
3045,"""MU""","""3165701""","""Senador Firmino (MG)""","""80283""","""95845""","""100334""","""106777"""
3046,"""MU""","""3165800""","""Senador José Bento (MG)""","""22675""","""22609""","""28497""","""35496"""
3047,"""MU""","""3165909""","""Senador Modestino Gonçalves (MG)""","""98394""","""95335""","""86611""","""92207"""
3048,"""MU""","""3166006""","""Senhora de Oliveira (MG)""","""69512""","""70582""","""74933""","""81083"""
3049,"""MU""","""3166105""","""Senhora do Porto (MG)""","""36288""","""36398""","""40530""","""49778"""
3050,"""MU""","""3166204""","""Senhora dos Remédios (MG)""","""82346""","""89155""","""101628""","""115769"""
3051,"""MU""","""3166303""","""Sericita (MG)""","""74582""","""64957""","""113536""","""104985"""
3052,"""MU""","""3166402""","""Seritinga (MG)""","""35452""","""40102""","""42556""","""45232"""
3053,"""MU""","""3166501""","""Serra Azul de Minas (MG)""","""33547""","""34678""","""38465""","""45066"""
3054,"""MU""","""3166600""","""Serra da Saudade (MG)""","""18792""","""19147""","""21061""","""21891"""
3055,"""MU""","""3166709""","""Serra dos Aimorés (MG)""","""88131""","""75394""","""81468""","""91034"""
3056,"""MU""","""3166808""","""Serra do Salitre (MG)""","""476867""","""573347""","""608670""","""983222"""
3057,"""MU""","""3166907""","""Serrania (MG)""","""133750""","""123362""","""143681""","""161647"""
3058,"""MU""","""3166956""","""Serranópolis de Minas (MG)""","""35287""","""37277""","""40327""","""47456"""
3059,"""MU""","""3167004""","""Serranos (MG)""","""28787""","""29345""","""32722""","""38562"""
3060,"""MU""","""3167103""","""Serro (MG)""","""232964""","""259739""","""271980""","""292440"""
3061,"""MU""","""3167202""","""Sete Lagoas (MG)""","""8537314""","""9549062""","""9248447""","""12659740"""
3062,"""MU""","""3167301""","""Silveirânia (MG)""","""27230""","""28059""","""32326""","""35150"""
3063,"""MU""","""3167400""","""Silvianópolis (MG)""","""94586""","""121412""","""133051""","""141556"""
3064,"""MU""","""3167509""","""Simão Pereira (MG)""","""71734""","""73265""","""103527""","""104072"""
3065,"""MU""","""3167608""","""Simonésia (MG)""","""186439""","""196108""","""246232""","""285287"""
3066,"""MU""","""3167707""","""Sobrália (MG)""","""52863""","""55838""","""61278""","""67373"""
3067,"""MU""","""3167806""","""Soledade de Minas (MG)""","""58285""","""67136""","""73386""","""81877"""
3068,"""MU""","""3167905""","""Tabuleiro (MG)""","""50531""","""56575""","""62831""","""65731"""
3069,"""MU""","""3168002""","""Taiobeiras (MG)""","""442753""","""473405""","""505209""","""557419"""
3070,"""MU""","""3168051""","""Taparuba (MG)""","""34697""","""38386""","""44204""","""49070"""
3071,"""MU""","""3168101""","""Tapira (MG)""","""625048""","""455692""","""594040""","""689238"""
3072,"""MU""","""3168200""","""Tapiraí (MG)""","""39431""","""36432""","""48844""","""56041"""
3073,"""MU""","""3168309""","""Taquaraçu de Minas (MG)""","""47284""","""49840""","""58853""","""65923"""
3074,"""MU""","""3168408""","""Tarumirim (MG)""","""144830""","""151619""","""166832""","""188341"""
3075,"""MU""","""3168507""","""Teixeiras (MG)""","""142102""","""148814""","""161598""","""191322"""
3076,"""MU""","""3168606""","""Teófilo Otoni (MG)""","""2523750""","""2699362""","""2801014""","""2951670"""
3077,"""MU""","""3168705""","""Timóteo (MG)""","""3220960""","""3167220""","""3640302""","""5611339"""
3078,"""MU""","""3168804""","""Tiradentes (MG)""","""162980""","""184488""","""167493""","""205707"""
3079,"""MU""","""3168903""","""Tiros (MG)""","""198081""","""224240""","""291103""","""379859"""
3080,"""MU""","""3169000""","""Tocantins (MG)""","""275643""","""295811""","""307345""","""349691"""
3081,"""MU""","""3169059""","""Tocos do Moji (MG)""","""51430""","""53044""","""61322""","""70719"""
3082,"""MU""","""3169109""","""Toledo (MG)""","""74880""","""81637""","""82533""","""107161"""
3083,"""MU""","""3169208""","""Tombos (MG)""","""98332""","""97481""","""113864""","""130979"""
3084,"""MU""","""3169307""","""Três Corações (MG)""","""2315536""","""2456201""","""2609743""","""2959361"""
3085,"""MU""","""3169356""","""Três Marias (MG)""","""2703184""","""2471820""","""2956212""","""3151633"""
3086,"""MU""","""3169406""","""Três Pontas (MG)""","""1350568""","""1263014""","""1558236""","""1879264"""
3087,"""MU""","""3169505""","""Tumiritinga (MG)""","""55948""","""63853""","""71845""","""82915"""
3088,"""MU""","""3169604""","""Tupaciguara (MG)""","""651767""","""692564""","""851446""","""946559"""
3089,"""MU""","""3169703""","""Turmalina (MG)""","""372693""","""373707""","""422269""","""443706"""
3090,"""MU""","""3169802""","""Turvolândia (MG)""","""100463""","""99720""","""114649""","""139820"""
3091,"""MU""","""3169901""","""Ubá (MG)""","""2734114""","""3054765""","""3298221""","""3573940"""
3092,"""MU""","""3170008""","""Ubaí (MG)""","""98488""","""101440""","""105018""","""117219"""
3093,"""MU""","""3170057""","""Ubaporanga (MG)""","""122788""","""135867""","""152350""","""167991"""
3094,"""MU""","""3170107""","""Uberaba (MG)""","""14732211""","""15545269""","""17194824""","""20397519"""
3095,"""MU""","""3170206""","""Uberlândia (MG)""","""37513607""","""37638742""","""37635138""","""43129285"""
3096,"""MU""","""3170305""","""Umburatiba (MG)""","""29922""","""33073""","""48386""","""44172"""
3097,"""MU""","""3170404""","""Unaí (MG)""","""3267962""","""2936329""","""3322128""","""4319563"""
3098,"""MU""","""3170438""","""União de Minas (MG)""","""111151""","""105938""","""116558""","""130424"""
3099,"""MU""","""3170479""","""Uruana de Minas (MG)""","""49902""","""52052""","""66850""","""97097"""
3100,"""MU""","""3170503""","""Urucânia (MG)""","""170882""","""206153""","""241628""","""239997"""
3101,"""MU""","""3170529""","""Urucuia (MG)""","""131313""","""134171""","""154583""","""193242"""
3102,"""MU""","""3170578""","""Vargem Alegre (MG)""","""64682""","""70511""","""68584""","""77331"""
3103,"""MU""","""3170602""","""Vargem Bonita (MG)""","""43567""","""49458""","""61297""","""87637"""
3104,"""MU""","""3170651""","""Vargem Grande do Rio Pardo (MG)""","""46838""","""50906""","""59071""","""68130"""
3105,"""MU""","""3170701""","""Varginha (MG)""","""5520239""","""6299357""","""6255874""","""8093810"""
3106,"""MU""","""3170750""","""Varjão de Minas (MG)""","""149759""","""150044""","""207830""","""316199"""
3107,"""MU""","""3170800""","""Várzea da Palma (MG)""","""717291""","""812466""","""877255""","""1067613"""
3108,"""MU""","""3170909""","""Varzelândia (MG)""","""157715""","""167373""","""174079""","""187206"""
3109,"""MU""","""3171006""","""Vazante (MG)""","""718745""","""799371""","""889181""","""1168648"""
3110,"""MU""","""3171030""","""Verdelândia (MG)""","""83288""","""85949""","""94911""","""115451"""
3111,"""MU""","""3171071""","""Veredinha (MG)""","""99516""","""98273""","""121109""","""133052"""
3112,"""MU""","""3171105""","""Veríssimo (MG)""","""113061""","""112503""","""130691""","""170434"""
3113,"""MU""","""3171154""","""Vermelho Novo (MG)""","""46204""","""41445""","""51198""","""64216"""
3114,"""MU""","""3171204""","""Vespasiano (MG)""","""2431551""","""2508278""","""2708274""","""3020537"""
3115,"""MU""","""3171303""","""Viçosa (MG)""","""1634791""","""1750583""","""1784059""","""1811859"""
3116,"""MU""","""3171402""","""Vieiras (MG)""","""38200""","""37491""","""47737""","""53459"""
3117,"""MU""","""3171501""","""Mathias Lobato (MG)""","""32731""","""37531""","""42201""","""43931"""
3118,"""MU""","""3171600""","""Virgem da Lapa (MG)""","""116279""","""119305""","""124047""","""131604"""
3119,"""MU""","""3171709""","""Virgínia (MG)""","""115671""","""129993""","""160111""","""180446"""
3120,"""MU""","""3171808""","""Virginópolis (MG)""","""148125""","""160890""","""162867""","""183953"""
3121,"""MU""","""3171907""","""Virgolândia (MG)""","""47534""","""51142""","""54960""","""62674"""
3122,"""MU""","""3172004""","""Visconde do Rio Branco (MG)""","""1123525""","""1284407""","""1300482""","""1351679"""
3123,"""MU""","""3172103""","""Volta Grande (MG)""","""84287""","""67671""","""126464""","""140361"""
3124,"""MU""","""3172202""","""Wenceslau Braz (MG)""","""26726""","""28158""","""30590""","""33088"""
3125,"""MU""","""3200102""","""Afonso Cláudio (ES)""","""437986""","""448609""","""500669""","""569771"""
3126,"""MU""","""3200136""","""Águia Branca (ES)""","""172210""","""169157""","""192815""","""246004"""
3127,"""MU""","""3200169""","""Água Doce do Norte (ES)""","""134205""","""138666""","""166304""","""184402"""
3128,"""MU""","""3200201""","""Alegre (ES)""","""468543""","""483634""","""505304""","""575138"""
3129,"""MU""","""3200300""","""Alfredo Chaves (ES)""","""325905""","""357763""","""377864""","""457719"""
3130,"""MU""","""3200359""","""Alto Rio Novo (ES)""","""83399""","""90121""","""97402""","""113034"""
3131,"""MU""","""3200409""","""Anchieta (ES)""","""917760""","""1010392""","""1034593""","""5764148"""
3132,"""MU""","""3200508""","""Apiacá (ES)""","""105363""","""97675""","""104402""","""118193"""
3133,"""MU""","""3200607""","""Aracruz (ES)""","""5394417""","""5211274""","""4517140""","""5313106"""
3134,"""MU""","""3200706""","""Atílio Vivácqua (ES)""","""247599""","""273364""","""341651""","""360866"""
3135,"""MU""","""3200805""","""Baixo Guandu (ES)""","""704863""","""659948""","""865834""","""928265"""
3136,"""MU""","""3200904""","""Barra de São Francisco (ES)""","""842101""","""808889""","""1001277""","""1165006"""
3137,"""MU""","""3201001""","""Boa Esperança (ES)""","""211500""","""237641""","""228941""","""271044"""
3138,"""MU""","""3201100""","""Bom Jesus do Norte (ES)""","""180680""","""161196""","""183196""","""186832"""
3139,"""MU""","""3201159""","""Brejetuba (ES)""","""232283""","""185360""","""261373""","""294750"""
3140,"""MU""","""3201209""","""Cachoeiro de Itapemirim (ES)""","""4837080""","""4920036""","""5309290""","""6146964"""
3141,"""MU""","""3201308""","""Cariacica (ES)""","""9404337""","""9962712""","""10218219""","""13698973"""
3142,"""MU""","""3201407""","""Castelo (ES)""","""877985""","""912235""","""1094825""","""1170595"""
3143,"""MU""","""3201506""","""Colatina (ES)""","""3476469""","""3566767""","""3789365""","""4378306"""
3144,"""MU""","""3201605""","""Conceição da Barra (ES)""","""420222""","""495750""","""514237""","""607069"""
3145,"""MU""","""3201704""","""Conceição do Castelo (ES)""","""196052""","""204069""","""241926""","""279078"""
3146,"""MU""","""3201803""","""Divino de São Lourenço (ES)""","""67761""","""60656""","""69001""","""82578"""
3147,"""MU""","""3201902""","""Domingos Martins (ES)""","""699721""","""785041""","""845454""","""957684"""
3148,"""MU""","""3202009""","""Dores do Rio Preto (ES)""","""133149""","""136768""","""164815""","""159782"""
3149,"""MU""","""3202108""","""Ecoporanga (ES)""","""302280""","""302721""","""362681""","""411089"""
3150,"""MU""","""3202207""","""Fundão (ES)""","""447409""","""404435""","""403181""","""468479"""
3151,"""MU""","""3202256""","""Governador Lindenberg (ES)""","""270220""","""188584""","""251387""","""334329"""
3152,"""MU""","""3202306""","""Guaçuí (ES)""","""539561""","""518674""","""562724""","""612495"""
3153,"""MU""","""3202405""","""Guarapari (ES)""","""2159993""","""2368730""","""2318220""","""2537472"""
3154,"""MU""","""3202454""","""Ibatiba (ES)""","""332513""","""315458""","""376018""","""450090"""
3155,"""MU""","""3202504""","""Ibiraçu (ES)""","""242455""","""287623""","""270288""","""289514"""
3156,"""MU""","""3202553""","""Ibitirama (ES)""","""118111""","""112082""","""156069""","""171983"""
3157,"""MU""","""3202603""","""Iconha (ES)""","""317441""","""322834""","""303161""","""314849"""
3158,"""MU""","""3202652""","""Irupi (ES)""","""211790""","""171712""","""258963""","""236224"""
3159,"""MU""","""3202702""","""Itaguaçu (ES)""","""240929""","""260155""","""276876""","""325867"""
3160,"""MU""","""3202801""","""Itapemirim (ES)""","""5683683""","""4832436""","""3245185""","""5744186"""
3161,"""MU""","""3202900""","""Itarana (ES)""","""221010""","""203113""","""217400""","""266030"""
3162,"""MU""","""3203007""","""Iúna (ES)""","""437281""","""422936""","""532310""","""538444"""
3163,"""MU""","""3203056""","""Jaguaré (ES)""","""589978""","""647212""","""651596""","""963635"""
3164,"""MU""","""3203106""","""Jerônimo Monteiro (ES)""","""136630""","""141256""","""149316""","""172125"""
3165,"""MU""","""3203130""","""João Neiva (ES)""","""456315""","""427351""","""380488""","""646255"""
3166,"""MU""","""3203163""","""Laranja da Terra (ES)""","""130640""","""141148""","""155926""","""187688"""
3167,"""MU""","""3203205""","""Linhares (ES)""","""6384081""","""6066596""","""6782343""","""8036008"""
3168,"""MU""","""3203304""","""Mantenópolis (ES)""","""155555""","""155338""","""170026""","""203075"""
3169,"""MU""","""3203320""","""Marataízes (ES)""","""2502763""","""5286038""","""3622341""","""6659696"""
3170,"""MU""","""3203346""","""Marechal Floriano (ES)""","""380856""","""438147""","""494398""","""516906"""
3171,"""MU""","""3203353""","""Marilândia (ES)""","""249746""","""233115""","""227809""","""312886"""
3172,"""MU""","""3203403""","""Mimoso do Sul (ES)""","""434973""","""441085""","""490604""","""607415"""
3173,"""MU""","""3203502""","""Montanha (ES)""","""340391""","""340465""","""368402""","""410506"""
3174,"""MU""","""3203601""","""Mucurici (ES)""","""68309""","""78194""","""87653""","""96748"""
3175,"""MU""","""3203700""","""Muniz Freire (ES)""","""304353""","""273855""","""344374""","""383338"""
3176,"""MU""","""3203809""","""Muqui (ES)""","""187828""","""197433""","""203238""","""234321"""
3177,"""MU""","""3203908""","""Nova Venécia (ES)""","""936928""","""1035233""","""1208706""","""1339644"""
3178,"""MU""","""3204005""","""Pancas (ES)""","""268628""","""250151""","""280182""","""358499"""
3179,"""MU""","""3204054""","""Pedro Canário (ES)""","""284493""","""317869""","""348014""","""401437"""
3180,"""MU""","""3204104""","""Pinheiros (ES)""","""501530""","""570495""","""693596""","""861702"""
3181,"""MU""","""3204203""","""Piúma (ES)""","""614876""","""679354""","""580058""","""876050"""
3182,"""MU""","""3204252""","""Ponto Belo (ES)""","""79722""","""85241""","""94035""","""107548"""
3183,"""MU""","""3204302""","""Presidente Kennedy (ES)""","""6693537""","""5383038""","""3514090""","""6811825"""
3184,"""MU""","""3204351""","""Rio Bananal (ES)""","""356264""","""389854""","""437064""","""525682"""
3185,"""MU""","""3204401""","""Rio Novo do Sul (ES)""","""183646""","""200176""","""206963""","""229883"""
3186,"""MU""","""3204500""","""Santa Leopoldina (ES)""","""200879""","""205461""","""281296""","""330158"""
3187,"""MU""","""3204559""","""Santa Maria de Jetibá (ES)""","""1369754""","""1486665""","""1519634""","""1631424"""
3188,"""MU""","""3204609""","""Santa Teresa (ES)""","""448310""","""482396""","""495963""","""577185"""
3189,"""MU""","""3204658""","""São Domingos do Norte (ES)""","""244991""","""465991""","""258287""","""331339"""
3190,"""MU""","""3204708""","""São Gabriel da Palha (ES)""","""580289""","""632888""","""682743""","""762065"""
3191,"""MU""","""3204807""","""São José do Calçado (ES)""","""161496""","""163295""","""173468""","""203596"""
3192,"""MU""","""3204906""","""São Mateus (ES)""","""2288347""","""2393051""","""2576181""","""2947644"""
3193,"""MU""","""3204955""","""São Roque do Canaã (ES)""","""173274""","""190705""","""208788""","""228984"""
3194,"""MU""","""3205002""","""Serra (ES)""","""25025755""","""24321132""","""24941902""","""37279406"""
3195,"""MU""","""3205010""","""Sooretama (ES)""","""511764""","""489978""","""544509""","""667529"""
3196,"""MU""","""3205036""","""Vargem Alta (ES)""","""301685""","""335602""","""370201""","""430100"""
3197,"""MU""","""3205069""","""Venda Nova do Imigrante (ES)""","""599117""","""600441""","""642358""","""702153"""
3198,"""MU""","""3205101""","""Viana (ES)""","""2630356""","""2940204""","""3517814""","""4227568"""
3199,"""MU""","""3205150""","""Vila Pavão (ES)""","""128169""","""119618""","""150797""","""180643"""
3200,"""MU""","""3205176""","""Vila Valério (ES)""","""263865""","""293862""","""317387""","""434064"""
3201,"""MU""","""3205200""","""Vila Velha (ES)""","""12235569""","""12699809""","""12595436""","""16305842"""
3202,"""MU""","""3205309""","""Vitória (ES)""","""25518127""","""23656637""","""25517575""","""31423573"""
3203,"""MU""","""3300100""","""Angra dos Reis (RJ)""","""8942168""","""9828660""","""10397760""","""11194244"""
3204,"""MU""","""3300159""","""Aperibé (RJ)""","""181569""","""208718""","""223026""","""249125"""
3205,"""MU""","""3300209""","""Araruama (RJ)""","""2676428""","""3686098""","""3529276""","""4234265"""
3206,"""MU""","""3300225""","""Areal (RJ)""","""315392""","""354392""","""389827""","""427444"""
3207,"""MU""","""3300233""","""Armação dos Búzios (RJ)""","""2361779""","""2628093""","""2053833""","""2970333"""
3208,"""MU""","""3300258""","""Arraial do Cabo (RJ)""","""1291857""","""2557039""","""1828909""","""2705477"""
3209,"""MU""","""3300308""","""Barra do Piraí (RJ)""","""2061848""","""2115455""","""2466252""","""2713911"""
3210,"""MU""","""3300407""","""Barra Mansa (RJ)""","""5565508""","""5486252""","""5906391""","""6449309"""
3211,"""MU""","""3300456""","""Belford Roxo (RJ)""","""7956748""","""8061960""","""8763446""","""8839808"""
3212,"""MU""","""3300506""","""Bom Jardim (RJ)""","""676541""","""697899""","""867982""","""887304"""
3213,"""MU""","""3300605""","""Bom Jesus do Itabapoana (RJ)""","""761618""","""729617""","""869846""","""908167"""
3214,"""MU""","""3300704""","""Cabo Frio (RJ)""","""10972209""","""11521218""","""9328185""","""12359627"""
3215,"""MU""","""3300803""","""Cachoeiras de Macacu (RJ)""","""1033179""","""1108135""","""1214996""","""1305514"""
3216,"""MU""","""3300902""","""Cambuci (RJ)""","""336837""","""353667""","""404958""","""400563"""
3217,"""MU""","""3300936""","""Carapebus (RJ)""","""521794""","""453285""","""439157""","""726769"""
3218,"""MU""","""3300951""","""Comendador Levy Gasparian (RJ)""","""390892""","""424146""","""487477""","""603975"""
3219,"""MU""","""3301009""","""Campos dos Goytacazes (RJ)""","""32338283""","""29136988""","""23852870""","""37179860"""
3220,"""MU""","""3301108""","""Cantagalo (RJ)""","""765208""","""730607""","""755569""","""841421"""
3221,"""MU""","""3301157""","""Cardoso Moreira (RJ)""","""279271""","""294027""","""353586""","""395482"""
3222,"""MU""","""3301207""","""Carmo (RJ)""","""456038""","""470439""","""581549""","""561153"""
3223,"""MU""","""3301306""","""Casimiro de Abreu (RJ)""","""2187857""","""2062389""","""1582755""","""2352168"""
3224,"""MU""","""3301405""","""Conceição de Macabu (RJ)""","""355204""","""376627""","""420666""","""434144"""
3225,"""MU""","""3301504""","""Cordeiro (RJ)""","""508060""","""398691""","""414304""","""456176"""
3226,"""MU""","""3301603""","""Duas Barras (RJ)""","""210017""","""214616""","""239246""","""249220"""
3227,"""MU""","""3301702""","""Duque de Caxias (RJ)""","""41581757""","""45373762""","""47194544""","""53136666"""
3228,"""MU""","""3301801""","""Engenheiro Paulo de Frontin (RJ)""","""264305""","""251671""","""272054""","""406744"""
